season,week,celebrity_name,week_total_score,is_eliminated,elimination_prob,predicted_fan_vote_score
29,week1,AJ McLean,18.0,1,0.922215517531499,7.7784482468501
29,week2,AJ McLean,19.0,0,0.39991084453798126,60.00891554620187
29,week3,AJ McLean,21.0,0,0.12703377308966132,87.29662269103386
29,week4,AJ McLean,24.0,0,0.13359743639285385,86.64025636071462
29,week5,AJ McLean,24.0,0,0.11451924488971948,88.54807551102806
29,week6,AJ McLean,27.0,0,0.06987023088684272,93.01297691131573
29,week7,AJ McLean,26.0,0,0.24510024303861955,75.48997569613805
29,week8,AJ McLean,27.0,0,0.5309882174926195,46.90117825073805
29,week9,AJ McLean,24.9998,0,0.21524314933497998,78.475685066502
9,week1,Aaron Carter,31.9999,1,0.6402908452329925,35.970915476700746
9,week2,Aaron Carter,27.0,0,0.012544278885488485,98.74557211145115
9,week3,Aaron Carter,21.0,0,0.045933746489593884,95.4066253510406
9,week4,Aaron Carter,18.0,0,0.18070810548150754,81.92918945184925
9,week5,Aaron Carter,24.0,0,0.0657866345875707,93.42133654124292
9,week6,Aaron Carter,32.9998,0,0.05885190950661541,94.11480904933846
9,week7,Aaron Carter,26.5,0,0.18306082301989382,81.69391769801062
9,week8,Aaron Carter,25.0,1,0.5854369734019399,41.45630265980601
6,week1,Adam Carolla,15.0,1,0.988368010166533,1.1631989833467027
6,week2,Adam Carolla,19.0,0,0.16300400852488964,83.69959914751104
6,week3,Adam Carolla,21.0,0,0.4081855785929382,59.181442140706174
6,week4,Adam Carolla,19.0,1,0.6981854465702425,30.18145534297575
26,week1,Adam Rippon,24.0,0,0.05996716811423276,94.00328318857673
26,week2,Adam Rippon,37.0,0,0.060539150950122404,93.94608490498776
26,week3,Adam Rippon,30.0,0,0.1600058149631685,83.99941850368316
26,week4,Adam Rippon,29.0,0,0.017743375131928273,98.22566248680718
32,week1,Adrian Peterson,18.0,1,0.8792074780458664,12.079252195413359
32,week2,Adrian Peterson,15.0,0,0.5303510450104012,46.964895498959876
32,week3,Adrian Peterson,22.0,0,0.49840316750356684,50.159683249643315
32,week4,Adrian Peterson,21.0,1,0.2845136705606795,71.54863294393206
10,week1,Aiden Turner,15.0,1,0.9811106332645093,1.8889366735490687
10,week2,Aiden Turner,19.0,0,0.15383630872611012,84.61636912738899
10,week3,Aiden Turner,20.0,0,0.13780256441566444,86.21974355843356
10,week4,Aiden Turner,16.5,1,0.6629974695173898,33.70025304826102
5,week1,Albert Reed,21.0,1,0.8834512308497396,11.654876915026035
5,week2,Albert Reed,21.0,1,0.394871320999735,60.5128679000265
21,week1,Alek Skarlatos,22.0,0,0.7349244321856756,26.50755678143244
21,week10,Alek Skarlatos,28.5,0,0.13255167100852142,86.74483289914787
21,week11,Alek Skarlatos,27.9999,0,0.09955150568630994,90.04484943136902
21,week2,Alek Skarlatos,22.5,0,0.11197043606153954,88.80295639384605
21,week3,Alek Skarlatos,33.0,0,0.05184290043068216,94.81570995693178
21,week4,Alek Skarlatos,24.0,0,0.04284040963339155,95.71595903666085
21,week5,Alek Skarlatos,29.0,0,0.08679217730829855,91.32078226917014
21,week6,Alek Skarlatos,30.0,0,0.13930829612111573,86.06917038788843
21,week7,Alek Skarlatos,26.5,0,0.15199300237994634,84.80069976200537
21,week8,Alek Skarlatos,25.0,0,0.136458276462704,86.3541723537296
21,week9,Alek Skarlatos,25.5,0,0.1240455542934944,87.59544457065056
21,week1,Alexa PenaVega,22.0,1,0.8122812051668482,18.77187948331518
21,week2,Alexa PenaVega,23.0,0,0.08928523522927036,91.07147647707296
21,week3,Alexa PenaVega,36.0,0,0.0361590167490421,96.38409832509579
21,week4,Alexa PenaVega,21.0,0,0.0752272550447971,92.47727449552029
21,week5,Alexa PenaVega,40.0,0,0.05732957238854683,94.26704276114532
21,week6,Alexa PenaVega,30.0,0,0.0848313776232072,91.51686223767928
21,week7,Alexa PenaVega,27.5,0,0.27190540724203754,72.80945927579626
21,week8,Alexa PenaVega,26.9998,0,0.3207334767168816,67.92665232831183
21,week9,Alexa PenaVega,30.0,0,0.07352833608142235,92.64716639185777
16,week1,Alexandra Raisman,21.0,0,0.33376462355681447,66.62353764431856
16,week10,Alexandra Raisman,29.0,0,0.02304155344945226,97.69584465505477
16,week2,Alexandra Raisman,24.0,0,0.020365427133332968,97.9634572866667
16,week3,Alexandra Raisman,23.0,0,0.01657513275909184,98.34248672409082
16,week4,Alexandra Raisman,27.0,0,0.00787380400998235,99.21261959900175
16,week5,Alexandra Raisman,25.0,0,0.03544717506746264,96.45528249325373
16,week6,Alexandra Raisman,26.0,0,0.07059653976762466,92.94034602323752
16,week7,Alexandra Raisman,32.0,0,0.02545578631586494,97.4544213684135
16,week8,Alexandra Raisman,28.0,0,0.03647092048446785,96.3529079515532
16,week9,Alexandra Raisman,29.5,0,0.005444820229934689,99.45551797700654
27,week1,Alexis Ren,22.0,0,0.16916173861569792,83.08382613843021
27,week2,Alexis Ren,24.5,0,0.0460176536629173,95.39823463370827
27,week3,Alexis Ren,26.0,0,0.025615803678579758,97.43841963214203
27,week4,Alexis Ren,25.0,0,0.0461126819910277,95.38873180089723
27,week5,Alexis Ren,29.0,0,0.07993490079825441,92.00650992017457
27,week6,Alexis Ren,27.0,0,0.08936104024759997,91.06389597524
27,week7,Alexis Ren,27.5,0,0.21934707807678638,78.06529219232137
27,week8,Alexis Ren,29.0,0,0.1789602247718073,82.10397752281928
27,week9,Alexis Ren,28.5,0,0.030277800227311736,96.97221997726882
19,week1,Alfonso Ribeiro,36.0,0,0.4628027321274048,53.71972678725952
19,week10,Alfonso Ribeiro,37.5,0,0.17793416927387679,82.20658307261233
19,week11,Alfonso Ribeiro,40.0,0,0.0956817490746748,90.43182509253252
19,week2,Alfonso Ribeiro,32.0,0,0.09741227393525204,90.25877260647479
19,week3,Alfonso Ribeiro,32.0,0,0.05263924776095295,94.7360752239047
19,week4,Alfonso Ribeiro,40.0,0,0.014879657777224869,98.5120342222775
19,week5,Alfonso Ribeiro,34.0,0,0.01589880715235746,98.41011928476425
19,week6,Alfonso Ribeiro,39.0,0,0.04828718869522471,95.17128113047752
19,week7,Alfonso Ribeiro,34.0,0,0.046429954114622515,95.35700458853775
19,week8,Alfonso Ribeiro,36.3,0,0.053817988835862994,94.6182011164137
19,week9,Alfonso Ribeiro,38.5,0,0.10071685093664318,89.92831490633569
34,week1,Alix Earle,13.0,0,0.726239407801868,27.376059219813197
34,week10,Alix Earle,29.0,0,0.18870613148106355,81.12938685189364
34,week11,Alix Earle,30.0,0,0.04675866130294556,95.32413386970543
34,week2,Alix Earle,21.0,0,0.19583913904317352,80.41608609568264
34,week3,Alix Earle,23.0,0,0.039670216241036386,96.03297837589636
34,week4,Alix Earle,24.0,0,0.044370612302478546,95.56293876975215
34,week5,Alix Earle,35.0,0,0.01807890624146611,98.19210937585339
34,week6,Alix Earle,35.0,0,0.030424103275963503,96.95758967240366
34,week7,Alix Earle,28.85,0,0.09936832583431104,90.0631674165689
34,week8,Alix Earle,38.5,0,0.08354086547507043,91.64591345249295
34,week9,Alix Earle,40.0,0,0.10216992485533934,89.78300751446606
28,week1,Ally Brooke,16.0,0,0.9211526551695256,7.88473448304744
28,week10,Ally Brooke,29.5,0,0.17525703831722425,82.47429616827758
28,week11,Ally Brooke,30.0,0,0.08900595900969481,91.09940409903052
28,week2,Ally Brooke,20.0,0,0.16840765072123332,83.15923492787667
28,week3,Ally Brooke,24.0,0,0.014081668941575823,98.59183310584243
28,week4,Ally Brooke,32.0,0,0.019927522535994956,98.00724774640051
28,week5,Ally Brooke,27.0,0,0.02176595688177225,97.82340431182277
28,week6,Ally Brooke,25.0,0,0.10307840691571035,89.69215930842897
28,week7,Ally Brooke,27.0,0,0.047252723288734776,95.27472767112653
28,week8,Ally Brooke,30.0,0,0.05176545750842971,94.82345424915702
28,week9,Ally Brooke,40.0,0,0.018171824337614,98.1828175662386
32,week1,Alyson Hannigan,13.0,0,0.9664149765646664,3.358502343533365
32,week10,Alyson Hannigan,25.5,0,0.6243121002151215,37.56878997848785
32,week11,Alyson Hannigan,26.5,0,0.5187555163418391,48.124448365816086
32,week2,Alyson Hannigan,19.0,0,0.33349496609984064,66.65050339001594
32,week3,Alyson Hannigan,24.0,0,0.19430497731571741,80.56950226842827
32,week4,Alyson Hannigan,18.0,0,0.5974176756028505,40.258232439714945
32,week5,Alyson Hannigan,21.0,0,0.5406369518427288,45.93630481572713
32,week6,Alyson Hannigan,31.0,0,0.4252261116157497,57.477388838425036
32,week7,Alyson Hannigan,35.0,0,0.25959258257670986,74.04074174232902
32,week8,Alyson Hannigan,36.0,0,0.28921929573428345,71.07807042657166
32,week9,Alyson Hannigan,32.0,0,0.320273549328205,67.9726450671795
30,week1,Amanda Kloots,28.0,0,0.7834567322650087,21.654326773499132
30,week10,Amanda Kloots,39.0,0,0.08592101359279405,91.4078986407206
30,week2,Amanda Kloots,32.0,0,0.07860113886285443,92.13988611371455
30,week3,Amanda Kloots,24.0,0,0.1098509435900286,89.01490564099714
30,week4,Amanda Kloots,34.0,0,0.0941783921302775,90.58216078697225
30,week5,Amanda Kloots,39.0,0,0.06262715901170626,93.73728409882938
30,week6,Amanda Kloots,38.0,0,0.09219479452061562,90.78052054793844
30,week7,Amanda Kloots,34.0,0,0.1526535850046722,84.73464149953278
30,week8,Amanda Kloots,34.166666666666664,0,0.15914894229071583,84.08510577092841
30,week9,Amanda Kloots,39.5,0,0.2190443072756513,78.09556927243487
17,week1,Amber Riley,27.0,0,0.2699160252572623,73.00839747427376
17,week10,Amber Riley,39.5,0,0.05975327299884377,94.02467270011562
17,week11,Amber Riley,31.3332,0,0.03391218702135372,96.60878129786464
17,week2,Amber Riley,24.0,0,0.03918022318256141,96.08197768174385
17,week3,Amber Riley,24.0,0,0.01445774960377733,98.55422503962227
17,week4,Amber Riley,27.0,0,0.01502328025415473,98.49767197458452
17,week5,Amber Riley,26.0,0,0.044727862588536366,95.52721374114637
17,week6,Amber Riley,31.9999,0,0.0405303575959823,95.94696424040177
17,week7,Amber Riley,29.5,0,0.06024542197890991,93.975457802109
17,week8,Amber Riley,28.0,0,0.019753727412964085,98.02462725870359
17,week9,Amber Riley,25.5,0,0.07532721227077752,92.46727877292224
23,week1,Amber Rose,24.0,1,0.9533037535408267,4.669624645917326
23,week2,Amber Rose,24.0,0,0.4926815092517468,50.73184907482532
23,week3,Amber Rose,25.0,0,0.1470594471895162,85.29405528104839
23,week4,Amber Rose,24.0,0,0.13286288646905103,86.7137113530949
23,week5,Amber Rose,24.0,0,0.27039406217668616,72.96059378233139
23,week6,Amber Rose,28.0,1,0.6926041461917414,30.73958538082586
18,week1,Amy Purdy,24.0,0,0.48717513845393234,51.282486154606765
18,week10,Amy Purdy,29.666600000000003,0,0.04178602471683795,95.82139752831621
18,week2,Amy Purdy,24.0,0,0.02665245596032349,97.33475440396765
18,week3,Amy Purdy,36.0,0,0.02016152154696397,97.9838478453036
18,week4,Amy Purdy,34.0,0,0.013440561343948896,98.65594386560511
18,week5,Amy Purdy,37.0,0,0.01255866484252373,98.74413351574762
18,week6,Amy Purdy,38.0,0,0.0847851967017405,91.52148032982595
18,week7,Amy Purdy,37.5,0,0.072169609472291,92.7830390527709
18,week8,Amy Purdy,40.0,0,0.03969783076623006,96.030216923377
18,week9,Amy Purdy,39.0,0,0.04740170733520719,95.25982926647927
16,week1,Andy Dick,17.0,1,0.982959858655669,1.7040141344330961
16,week2,Andy Dick,20.0,0,0.15579446096968125,84.42055390303187
16,week3,Andy Dick,18.0,0,0.32570081639871584,67.42991836012841
16,week4,Andy Dick,21.0,0,0.2664489043660378,73.35510956339621
16,week5,Andy Dick,18.0,0,0.7108160275719446,28.91839724280554
16,week6,Andy Dick,21.5,0,0.6475317919373531,35.24682080626469
16,week7,Andy Dick,17.0,1,0.8242704657371869,17.572953426281313
21,week1,Andy Grammer,21.0,1,0.9194585270302008,8.054147296979918
21,week2,Andy Grammer,22.0,0,0.2405112006109987,75.94887993890012
21,week3,Andy Grammer,29.0,0,0.1471678250602182,85.28321749397819
21,week4,Andy Grammer,23.0,0,0.1181356905162219,88.18643094837782
21,week5,Andy Grammer,36.0,0,0.06407116092727116,93.59288390727288
21,week6,Andy Grammer,40.0,0,0.06182008307636704,93.81799169236331
21,week7,Andy Grammer,28.0,0,0.22856044842382356,77.14395515761765
21,week8,Andy Grammer,23.9998,1,0.740269499076314,25.9730500923686
34,week1,Andy Richter,9.0,1,0.9546864957560544,4.531350424394565
34,week2,Andy Richter,16.0,0,0.6892064194142177,31.079358058578233
34,week3,Andy Richter,18.0,0,0.54602585640821,45.397414359179
34,week4,Andy Richter,18.0,0,0.6702431483467521,32.975685165324784
