season,week,celebrity_name,week_total_score,is_eliminated,elimination_prob,predicted_fan_vote_score
1,week1,Evander Holyfield,18.0,0,0.28039679525268113,71.96032047473189
1,week2,Evander Holyfield,14.0,0,0.7494673200414785,25.053267995852146
1,week3,Evander Holyfield,13.0,1,0.9372689783740753,6.27310216259247
1,week1,Joey McIntyre,20.0,0,0.011056638359193014,98.8943361640807
1,week2,Joey McIntyre,21.0,0,0.002213779743457261,99.77862202565427
1,week3,Joey McIntyre,22.0,0,0.0045972872949180356,99.5402712705082
1,week4,Joey McIntyre,20.0,0,0.3671449153728936,63.28550846271064
1,week5,Joey McIntyre,22.5,1,0.6777373251794363,32.22626748205637
1,week1,John O'Hurley,20.0,0,0.1179454112443464,88.20545887556536
1,week2,John O'Hurley,26.0,0,0.06980062126283586,93.01993787371642
1,week3,John O'Hurley,24.0,0,0.12572494224123248,87.42750577587674
1,week4,John O'Hurley,21.0,0,0.4454077938816061,55.459220611839385
1,week5,John O'Hurley,27.0,0,0.01397954436134148,98.60204556386584
1,week6,John O'Hurley,27.0,0,0.000795300215896676,99.92046997841032
1,week1,Kelly Monaco,13.0,0,0.36830099001562744,63.16990099843726
1,week2,Kelly Monaco,17.0,0,0.4730900537172594,52.69099462827407
1,week3,Kelly Monaco,21.0,0,0.12303635315050511,87.69636468494949
1,week4,Kelly Monaco,26.0,0,0.060025914631491505,93.99740853685084
1,week5,Kelly Monaco,23.5,0,0.16222816357260625,83.77718364273937
1,week6,Kelly Monaco,27.5,0,0.0001494385122896109,99.98505614877104
1,week1,Rachel Hunter,20.0,0,0.13418417344143435,86.58158265585656
1,week2,Rachel Hunter,24.0,0,0.06484077650711509,93.51592234928849
1,week3,Rachel Hunter,26.0,0,0.10736410193332355,89.26358980666764
1,week4,Rachel Hunter,25.0,1,0.31747459527670685,68.25254047232931
1,week1,Trista Sutter,18.0,0,0.09226023212761679,90.77397678723833
1,week2,Trista Sutter,19.0,1,0.24889082906654153,75.11091709334585
2,week1,Drew Lachey,24.0,0,0.010914238346556297,98.90857616534437
2,week2,Drew Lachey,27.0,0,0.0004457543162711619,99.95542456837289
2,week3,Drew Lachey,27.0,0,0.0037184120066697207,99.62815879933304
2,week4,Drew Lachey,28.0,0,0.00428078936698613,99.57192106330139
2,week5,Drew Lachey,27.0,0,0.0025282259529993325,99.74717740470007
2,week6,Drew Lachey,30.0,0,0.003052230012543193,99.69477699874568
2,week7,Drew Lachey,27.5,0,0.0029775752503997228,99.70224247496003
2,week8,Drew Lachey,28.9998,0,7.01710563615359e-06,99.99929828943638
2,week1,George Hamilton,18.0,0,0.16311042239414233,83.68895776058577
