celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,week_total_score,week_rank,week_percent,week_num,is_valid,is_eliminated,judge_score_std,age_zscore,remaining_weeks,cumulative_rank,elimination_risk,weeks_participated,relative_performance,predicted_fan_vote_score,elimination_prob,judge_rank,fan_rank,combined_rank,rank_eliminated,rank_placement,judge_percent,fan_percent,combined_percent,pct_eliminated,pct_placement,methods_agree,rank_correct,pct_correct
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,week2,14.0,6.0,0.1157024793388429,2,True,0,4.445971959725642,0.6034621593429123,5,5.0,1.2,2,-1.3870232926631432,54.35854388726962,0.4564145611273039,6.0,5.0,11.0,True,6.0,0.11570247933884298,0.12054257505172145,0.23624505439056442,True,6.0,True,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,week2,21.0,3.0,0.1735537190082644,2,True,0,4.445971959725642,-0.622320351822379,5,2.0,0.6,2,0.1874355800896136,86.67687979200058,0.1332312020799942,3.0,3.0,6.0,False,3.0,0.17355371900826447,0.19220997363807557,0.36576369264634,False,3.0,True,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,week2,26.0,1.0,0.2148760330578512,2,True,0,4.445971959725642,1.584088168275145,5,1.0,0.2,2,1.3120490606272972,93.91309014482565,0.0608690985517435,1.0,1.0,2.0,False,1.0,0.21487603305785125,0.20825660342555485,0.4231326364834061,False,1.0,True,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,week2,17.0,5.0,0.140495867768595,2,True,0,4.445971959725642,-0.9900551051719664,5,5.5,1.0,2,-0.7122552043405331,75.09978142274979,0.2490021857725021,5.0,4.0,9.0,False,4.0,0.14049586776859505,0.16653722471472926,0.30703309248332433,False,4.0,True,True,True
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,week2,24.0,2.0,0.1983471074380165,2,True,0,4.445971959725642,-0.2545855984727916,5,1.5,0.4,2,0.8622036684122237,87.64036335637428,0.1235963664362572,2.0,2.0,4.0,False,2.0,0.19834710743801653,0.19434654282415373,0.3926936502621703,False,2.0,True,True,True
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,week2,19.0,4.0,0.1570247933884297,2,True,1,4.445971959725642,-0.622320351822379,5,4.0,0.8,2,-0.2624098121254598,53.260260182909306,0.4673973981709069,4.0,6.0,10.0,False,5.0,0.15702479338842976,0.1181070803457652,0.27513187373419495,False,5.0,True,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,week3,13.0,5.0,0.1226415094339622,3,True,1,4.969909455915671,0.6034621593429123,4,5.0,1.25,3,-1.649929455000344,27.166782519499264,0.7283321748050073,5.0,5.0,10.0,True,5.0,0.12264150943396226,0.07284388656542974,0.19548539599939202,True,5.0,True,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,week3,22.0,3.0,0.2075471698113207,3,True,0,4.969909455915671,-0.622320351822379,4,2.333333333333333,0.75,3,0.1609687273171069,87.40850634537868,0.1259149365462131,3.0,2.0,5.0,False,2.0,0.20754716981132076,0.23437355220502462,0.44192072201634536,False,3.0,True,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,week3,24.0,2.0,0.2264150943396226,3,True,0,4.969909455915671,1.584088168275145,4,1.3333333333333333,0.5,3,0.5633905456098738,85.49704971770109,0.145029502822989,2.0,3.0,5.0,False,2.0,0.22641509433962265,0.22924825149407932,0.45566334583370194,False,2.0,True,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,week3,21.0,4.0,0.1981132075471698,3,True,0,4.969909455915671,-0.9900551051719664,4,5.0,1.0,3,-0.0402421818292765,81.51391969819426,0.1848608030180573,4.0,4.0,8.0,False,4.0,0.19811320754716982,0.21856805147009573,0.41668125901726555,False,4.0,True,True,True
