Variable,Coefficient,Std_Error,t_value,p_value,Significance
wins_std,-0.017698512220826818,0.035396300404224215,-0.500010226173627,0.6171077380798264,
seasons_std,0.11033634864763889,0.0370732328799309,2.9761728281795117,0.0029440536501414982,**
avg_place_std,-0.4336478684505299,0.036131406703434094,-12.00196468434531,0.0,***
partner_is_champion,-0.0905312902490285,0.07955300716361609,-1.1379995975392043,0.2552194253600939,
age_std,0.5666416266987486,0.22965435951322058,2.4673671671335806,0.013671341833121131,*
followers_std,0.27785912093591847,0.1259110700875648,2.2067886526736893,0.027410871959871352,*
celebrity_has_follower_data,0.05684390714969188,0.1050092568417847,0.541322820531957,0.5883287835760029,
age_sq_std,0.34256441783829106,0.2269999471708654,1.5090947022535186,0.13138904436579502,
season_std,0.24976925173710068,0.037676369673364414,6.6293343344792435,4.04085653826769e-11,***
week_std,-0.935130424196083,0.049070823364386056,-19.05675018628471,0.0,***
exp_x_fans,0.1477843126504692,0.06487306656856108,2.278053439426639,0.02279951659192614,*
champ_x_fans,-0.35986427671346793,0.15248110097146253,-2.3600582248210036,0.018341287872759127,*
wins_x_age,-0.04329030778997748,0.05147370213263902,-0.8410179550389417,0.4004107315241283,
season_x_fans,-0.13181348817670263,0.04930228207199767,-2.673577821749782,0.00754889461163466,**
ind_Entertainment,-0.48227737396224024,0.16699063692609253,-2.8880503874410857,0.0039065507910802655,**
ind_Sports,-0.3275949338548382,0.18154244738387232,-1.804508743796355,0.07126055458967229,
ind_Media,0.13938518956137227,0.17506668088424235,0.7961834243828398,0.42599390469635834,
