season,week,celebrity,borda_judge,borda_fan,condorcet_score,distortion,final_score,judge_weight
1,1,John O'Hurley,4.0,3.0,5.0,0.06885124554760604,96.89060165336232,0.75
1,1,Rachel Hunter,4.0,4.0,4.5,8.396518226418958e-05,100.0,0.75
1,1,Joey McIntyre,4.0,5.0,4.0,0.06666666666666667,94.32946187489247,0.75
1,1,Evander Holyfield,1.5,1.0,5.0,0.15835521951460266,26.891936887516934,0.75
1,1,Trista Sutter,1.5,2.0,4.5,0.17917813413206873,24.189762822467507,0.75
1,1,Kelly Monaco,0.0,0.0,5.0,0.0,0.0,0.75
1,2,John O'Hurley,5.0,5.0,5.0,0.0,100.0,0.75
1,2,Rachel Hunter,4.0,4.0,5.0,0.09987392332811251,75.20605168025061,0.75
1,2,Joey McIntyre,3.0,3.0,5.0,0.24670178463176604,48.15831433767523,0.75
1,2,Trista Sutter,2.0,2.0,5.0,0.31801688023259717,24.735189748835325,0.75
1,2,Kelly Monaco,1.0,1.0,5.0,0.2552420885597229,7.748379749133304,0.75
1,2,Evander Holyfield,0.0,0.0,5.0,0.0,0.0,0.75
1,3,Rachel Hunter,4.0,4.0,4.0,0.0,100.0,0.75
1,3,John O'Hurley,3.0,3.0,4.0,0.09216999037495262,70.3915004812524,0.75
1,3,Joey McIntyre,2.0,2.0,4.0,0.18422445023304704,40.78877748834765,0.75
1,3,Kelly Monaco,1.0,1.0,4.0,0.22815598825504602,13.592200587247694,0.75
1,3,Evander Holyfield,0.0,0.0,4.0,0.0,0.0,0.75
1,4,Kelly Monaco,3.0,3.0,3.0,0.0,100.0,0.6
1,4,Rachel Hunter,2.0,2.0,3.0,0.09967085387549025,61.35088779330718,0.6
1,4,John O'Hurley,1.0,1.0,3.0,0.0026293048803911366,33.19310373971248,0.6
1,4,Joey McIntyre,0.0,0.0,3.0,0.0,0.0,0.6
1,5,John O'Hurley,2.0,2.0,2.0,0.5993218674589457,100.0,0.6
1,5,Kelly Monaco,1.0,1.0,2.0,0.13273360882136198,65.63949391349634,0.6
1,5,Joey McIntyre,0.0,0.0,2.0,0.0,0.0,0.6
1,6,Kelly Monaco,1.0,0.5,0.5,0.7,0.0,0.6
1,6,John O'Hurley,0.0,0.5,1.0,0.1,100.0,0.6
2,1,Drew Lachey,9.0,9.0,9.0,0.0,100.0,0.75
2,1,Tatum O'Neal,7.5,8.0,8.5,0.05945613902513363,78.74639382110519,0.75
2,1,Giselle Fernandez,7.5,7.0,9.0,0.0579791081502906,79.36759519332041,0.75
2,1,Stacy Keibler,6.0,6.0,9.0,0.054591183661443644,64.24039183726916,0.75
2,1,Jerry Rice,5.0,5.0,9.0,0.04097400603592067,53.73448862062574,0.75
2,1,Tia Carrere,4.0,4.0,9.0,0.14377571663329286,38.054412594075856,0.75
2,1,Lisa Rinna,3.0,3.0,9.0,0.25821112396526913,21.857283379321363,0.75
2,1,George Hamilton,2.0,2.0,9.0,0.2965375803646969,9.042774206013476,0.75
2,1,Kenny Mayne,1.0,1.0,9.0,0.04926078104213568,8.921743064793967,0.75
2,1,Master P,0.0,0.0,9.0,0.0,0.0,0.75
2,2,Stacy Keibler,8.0,8.0,8.0,0.0,100.0,0.75
2,2,Drew Lachey,7.0,7.0,8.0,0.09121263446775416,83.39543144895109,0.75
2,2,Giselle Fernandez,6.0,6.0,8.0,0.2110938774578223,65.500775514398,0.75
2,2,Jerry Rice,5.0,5.0,8.0,0.2070638025762555,53.18212888406851,0.75
2,2,Tia Carrere,3.5,4.0,7.5,0.18327636803563038,33.31506343839663,0.75
2,2,George Hamilton,3.5,2.0,7.5,0.23541644018997904,24.71876019145095,0.75
2,2,Lisa Rinna,2.0,3.0,7.5,0.11895744633526048,19.021914914913285,0.75
2,2,Tatum O'Neal,1.0,1.0,8.0,0.0006260309531870428,12.471828607106584,0.75
2,2,Master P,0.0,0.0,8.0,0.0,0.0,0.75
2,3,Stacy Keibler,6.5,6.0,7.0,0.025032223344221727,99.99999999999999,0.75
2,3,Drew Lachey,6.5,7.0,6.5,0.025,99.20734388175569,0.75
2,3,Tia Carrere,5.0,5.0,7.0,0.0414333149444116,77.3231632045563,0.75
2,3,Lisa Rinna,4.0,4.0,7.0,0.06909529087778048,60.03108768972178,0.75
2,3,George Hamilton,2.5,2.0,7.0,0.20221345891130008,27.449487465304305,0.75
2,3,Giselle Fernandez,2.5,3.0,6.5,0.18034384436230022,27.766931371390662,0.75
2,3,Jerry Rice,1.0,1.0,7.0,0.044285595824834656,13.634633084539095,0.75
2,3,Master P,0.0,0.0,7.0,0.0,0.0,0.75
2,4,Drew Lachey,6.0,6.0,6.0,0.0,100.0,0.6
2,4,Lisa Rinna,4.5,4.0,6.0,0.08799301702187019,67.56032587231273,0.6
2,4,Stacy Keibler,4.5,5.0,5.5,0.08841343336838701,69.20737310947526,0.6
2,4,Tia Carrere,3.0,3.0,6.0,0.08803617656446638,45.891645093658234,0.6
2,4,Jerry Rice,2.0,2.0,6.0,0.11230937502586032,28.09222916545986,0.6
2,4,George Hamilton,1.0,1.0,6.0,0.05022465149380839,14.322849596955606,0.6
2,4,Master P,0.0,0.0,6.0,0.0,0.0,0.6
2,5,Stacy Keibler,5.0,5.0,5.0,0.0,100.0,0.6
2,5,Drew Lachey,4.0,4.0,5.0,0.2241144795686274,71.65401289169597,0.6
2,5,Lisa Rinna,3.0,3.0,5.0,0.353774417058609,47.48637473734028,0.6
2,5,George Hamilton,2.0,0.0,4.0,0.28333333333333377,6.365837387046586,0.6
2,5,Jerry Rice,1.0,2.0,4.5,0.3521220138985355,12.538820084239976,0.6
2,5,Tia Carrere,0.0,1.0,4.5,0.2189042698366368,0.0,0.6
2,6,Stacy Keibler,3.5,3.0,4.0,0.04000029097908137,97.51937596647902,0.6
2,6,Drew Lachey,3.5,4.0,3.5,0.04000000000000001,100.0,0.6
2,6,Lisa Rinna,2.0,2.0,4.0,0.25518924961076184,54.59545527936456,0.6
2,6,George Hamilton,0.5,0.0,4.0,0.04000000000000001,23.10110248026086,0.6
2,6,Jerry Rice,0.5,1.0,3.5,0.5556335786246239,0.0,0.6
2,7,Stacy Keibler,2.5,2.0,3.0,0.05000029205480414,91.56116171781912,0.5
